area_sqft,floors,building_type,structure_type,wall_material,construction_stage,cement_bags,sand_cubic_meters,steel_kg,bricks_units,aggregates_cubic_meters,estimated_days,estimated_cost_inr
1383,3,Industrial,Load Bearing,Brick,Plastering,526,39.42,3942,10511,65.69,20,165960
3880,3,Industrial,RCC,Brick,Foundation,1552,116.4,11640,31040,194,15,582000
1843,4,Industrial,Load Bearing,AAC Blocks,Framing,560,42.02,4202,11205,70.03,30,737200
2718,1,Residential,RCC,Brick,Flooring,1087,81.54,8154,21744,135.9,10,271800
1076,5,Commercial,RCC,AAC Blocks,Flooring,344,25.82,2582,6886,43.04,10,107600
4317,2,Commercial,Load Bearing,Concrete Blocks,Foundation,1476,110.73,11073,29528,184.55,15,647550
2395,4,Industrial,RCC,Concrete Blocks,Foundation,862,64.66,6466,17244,107.78,15,359250
2707,2,Industrial,RCC,Concrete Blocks,Flooring,975,73.09,7309,19490,121.81,10,270700
4215,4,Residential,RCC,Concrete Blocks,Foundation,1517,113.8,11380,30348,189.68,15,632250
1913,5,Industrial,RCC,Concrete Blocks,Excavation,689,51.65,5165,13774,86.09,5,95650
4693,3,Commercial,Load Bearing,AAC Blocks,Plastering,1427,107,10700,28533,178.33,20,563160
1832,3,Commercial,Load Bearing,AAC Blocks,Flooring,557,41.77,4177,11139,69.62,10,183200
1602,1,Industrial,RCC,AAC Blocks,Framing,513,38.45,3845,10253,64.08,30,640800
2530,4,Industrial,RCC,Concrete Blocks,Framing,911,68.31,6831,18216,113.85,30,1012000
3778,1,Industrial,RCC,Concrete Blocks,Flooring,1360,102.01,10201,27202,170.01,10,377800
4975,1,Industrial,Steel Frame,Brick,Flooring,2388,179.1,17910,47760,298.5,10,497500
2453,4,Residential,RCC,AAC Blocks,Foundation,785,58.87,5887,15699,98.12,15,367950
1609,1,Residential,Steel Frame,AAC Blocks,Excavation,618,46.34,4634,12357,77.23,5,80450
2362,3,Commercial,Steel Frame,Concrete Blocks,Flooring,1020,76.53,7653,20408,127.55,10,236200
2289,5,Industrial,Load Bearing,Brick,Excavation,870,65.24,6524,17396,108.73,5,114450
1653,4,Industrial,Load Bearing,AAC Blocks,Plastering,503,37.69,3769,10050,62.81,20,198360
744,2,Residential,Steel Frame,Brick,Flooring,357,26.78,2678,7142,44.64,10,74400
4605,4,Residential,RCC,AAC Blocks,Excavation,1474,110.52,11052,29472,184.2,5,230250
1932,4,Commercial,RCC,AAC Blocks,Flooring,618,46.37,4637,12365,77.28,10,193200
1025,1,Industrial,Load Bearing,Brick,Plastering,390,29.21,2921,7790,48.69,20,123000
3060,2,Industrial,Steel Frame,AAC Blocks,Flooring,1175,88.13,8813,23501,146.88,10,306000
4913,4,Residential,Load Bearing,AAC Blocks,Framing,1494,112.02,11202,29871,186.69,30,1965200
1104,3,Residential,Load Bearing,Brick,Plastering,420,31.46,3146,8390,52.44,20,132480
1785,3,Industrial,RCC,Brick,Foundation,714,53.55,5355,14280,89.25,15,267750
4647,5,Industrial,Steel Frame,Concrete Blocks,Foundation,2008,150.56,15056,40150,250.94,15,697050
3853,2,Industrial,Load Bearing,AAC Blocks,Excavation,1171,87.85,8785,23426,146.41,5,192650
4827,2,Commercial,RCC,Concrete Blocks,Excavation,1738,130.33,13033,34754,217.22,5,241350
2102,4,Commercial,RCC,AAC Blocks,Plastering,673,50.45,5045,13453,84.08,20,252240
3744,1,Residential,Load Bearing,Concrete Blocks,Plastering,1280,96.03,9603,25609,160.06,20,449280
1836,3,Residential,Load Bearing,AAC Blocks,Foundation,558,41.86,4186,11163,69.77,15,275400
3911,4,Commercial,Steel Frame,Brick,Framing,1877,140.8,14080,37546,234.66,30,1564400
2908,3,Commercial,Steel Frame,Concrete Blocks,Framing,1256,94.22,9422,25125,157.03,30,1163200
3519,4,Commercial,RCC,AAC Blocks,Plastering,1126,84.46,8446,22522,140.76,20,422280
4108,1,Industrial,Steel Frame,AAC Blocks,Plastering,1577,118.31,11831,31549,197.18,20,492960
1199,5,Commercial,RCC,AAC Blocks,Foundation,384,28.78,2878,7674,47.96,15,179850
1593,4,Commercial,Steel Frame,AAC Blocks,Foundation,612,45.88,4588,12234,76.46,15,238950
4897,4,Residential,Steel Frame,AAC Blocks,Flooring,1880,141.03,14103,37609,235.06,10,489700
2353,5,Industrial,Steel Frame,Concrete Blocks,Excavation,1016,76.24,7624,20330,127.06,5,117650
3346,5,Residential,Steel Frame,Concrete Blocks,Flooring,1445,108.41,10841,28909,180.68,10,334600
3053,5,Industrial,Load Bearing,AAC Blocks,Foundation,928,69.61,6961,18562,116.01,15,457950
2519,3,Residential,Load Bearing,Concrete Blocks,Framing,861,64.61,6461,17230,107.69,30,1007600
3833,5,Residential,RCC,AAC Blocks,Excavation,1227,91.99,9199,24531,153.32,5,191650
2624,4,Commercial,Steel Frame,AAC Blocks,Framing,1008,75.57,7557,20152,125.95,30,1049600
2718,1,Commercial,Steel Frame,Brick,Plastering,1305,97.85,9785,26093,163.08,20,326160
3048,4,Commercial,RCC,Brick,Framing,1219,91.44,9144,24384,152.4,30,1219200
3815,4,Industrial,Load Bearing,Concrete Blocks,Framing,1305,97.85,9785,26095,163.09,30,1526000
3748,3,Commercial,Steel Frame,Concrete Blocks,Plastering,1619,121.44,12144,32383,202.39,20,449760
2764,4,Residential,Steel Frame,Brick,Plastering,1327,99.5,9950,26534,165.84,20,331680
1010,5,Industrial,Load Bearing,AAC Blocks,Flooring,307,23.03,2303,6141,38.38,10,101000
4841,1,Residential,RCC,Brick,Foundation,1936,145.23,14523,38728,242.05,15,726150
4318,5,Commercial,RCC,Concrete Blocks,Framing,1554,116.59,11659,31090,194.31,30,1727200
2763,2,Commercial,Steel Frame,Brick,Plastering,1326,99.47,9947,26525,165.78,20,331560
3695,3,Commercial,Steel Frame,Brick,Framing,1774,133.02,13302,35472,221.7,30,1478000
4159,3,Commercial,RCC,AAC Blocks,Excavation,1331,99.82,9982,26618,166.36,5,207950
2972,1,Commercial,Steel Frame,Concrete Blocks,Foundation,1284,96.29,9629,25678,160.49,15,445800
676,3,Commercial,RCC,Brick,Plastering,270,20.28,2028,5408,33.8,20,81120
2182,2,Industrial,Steel Frame,AAC Blocks,Foundation,838,62.84,6284,16758,104.74,15,327300
4282,5,Residential,Steel Frame,Concrete Blocks,Excavation,1850,138.74,13874,36996,231.23,5,214100
4854,2,Commercial,Steel Frame,Concrete Blocks,Flooring,2097,157.27,15727,41939,262.12,10,485400
2911,2,Industrial,Load Bearing,Concrete Blocks,Framing,996,74.67,7467,19911,124.45,30,1164400
3331,1,Residential,Load Bearing,AAC Blocks,Excavation,1013,75.95,7595,20252,126.58,5,166550
1230,5,Industrial,RCC,Brick,Foundation,492,36.9,3690,9840,61.5,15,184500
947,5,Residential,Load Bearing,Concrete Blocks,Foundation,324,24.29,2429,6477,40.48,15,142050
4891,4,Residential,Load Bearing,Brick,Foundation,1859,139.39,13939,37172,232.32,15,733650
882,1,Residential,Load Bearing,Brick,Excavation,335,25.14,2514,6703,41.89,5,44100
4476,2,Commercial,RCC,Brick,Plastering,1790,134.28,13428,35808,223.8,20,537120
1333,3,Commercial,Load Bearing,Concrete Blocks,Excavation,456,34.19,3419,9118,56.99,5,66650
4718,3,Residential,Steel Frame,Brick,Framing,2265,169.85,16985,45293,283.08,30,1887200
1842,4,Industrial,Load Bearing,AAC Blocks,Framing,560,42,4200,11199,70,30,736800
780,4,Commercial,Steel Frame,AAC Blocks,Plastering,300,22.46,2246,5990,37.44,20,93600
4750,4,Industrial,Load Bearing,Concrete Blocks,Framing,1624,121.84,12184,32490,203.06,30,1900000
4236,3,Industrial,RCC,Brick,Flooring,1694,127.08,12708,33888,211.8,10,423600
2879,3,Industrial,Steel Frame,Concrete Blocks,Flooring,1244,93.28,9328,24875,155.47,10,287900
4306,2,Commercial,Load Bearing,AAC Blocks,Plastering,1309,98.18,9818,26180,163.63,20,516720
2498,5,Industrial,RCC,AAC Blocks,Framing,799,59.95,5995,15987,99.92,30,999200
4071,2,Industrial,Steel Frame,Brick,Framing,1954,146.56,14656,39082,244.26,30,1628400
3400,3,Industrial,Load Bearing,AAC Blocks,Foundation,1034,77.52,7752,20672,129.2,15,510000
1258,3,Industrial,Steel Frame,AAC Blocks,Foundation,483,36.23,3623,9661,60.38,15,188700
3709,2,Industrial,Load Bearing,AAC Blocks,Foundation,1128,84.57,8457,22551,140.94,15,556350
4254,5,Residential,Steel Frame,Concrete Blocks,Plastering,1838,137.83,13783,36755,229.72,20,510480
3906,1,Industrial,RCC,Brick,Excavation,1562,117.18,11718,31248,195.3,5,195300
3365,3,Commercial,Steel Frame,AAC Blocks,Flooring,1292,96.91,9691,25843,161.52,10,336500
4045,4,Residential,RCC,AAC Blocks,Foundation,1294,97.08,9708,25888,161.8,15,606750
1940,1,Residential,Steel Frame,AAC Blocks,Excavation,745,55.87,5587,14899,93.12,5,97000
1192,3,Industrial,RCC,Concrete Blocks,Plastering,429,32.18,3218,8582,53.64,20,143040
3307,1,Commercial,Steel Frame,AAC Blocks,Plastering,1270,95.24,9524,25398,158.74,20,396840
1784,1,Residential,Steel Frame,Brick,Flooring,856,64.22,6422,17126,107.04,10,178400
2028,1,Commercial,RCC,AAC Blocks,Foundation,649,48.67,4867,12979,81.12,15,304200
4030,2,Industrial,Steel Frame,Concrete Blocks,Foundation,1741,130.57,13057,34819,217.62,15,604500
1414,2,Residential,RCC,Concrete Blocks,Framing,509,38.18,3818,10181,63.63,30,565600
2316,2,Residential,Load Bearing,Brick,Excavation,880,66.01,6601,17602,110.01,5,115800
1131,5,Commercial,Steel Frame,Concrete Blocks,Flooring,489,36.64,3664,9772,61.07,10,113100
993,4,Residential,RCC,Concrete Blocks,Foundation,357,26.81,2681,7150,44.69,15,148950
1850,5,Industrial,Load Bearing,Concrete Blocks,Plastering,633,47.45,4745,12654,79.09,20,222000
1350,2,Residential,Steel Frame,Concrete Blocks,Plastering,583,43.74,4374,11664,72.9,20,162000
1757,4,Commercial,Steel Frame,AAC Blocks,Flooring,675,50.6,5060,13494,84.34,10,175700
4172,5,Residential,RCC,AAC Blocks,Excavation,1335,100.13,10013,26701,166.88,5,208600
1873,5,Residential,Steel Frame,AAC Blocks,Foundation,719,53.94,5394,14385,89.9,15,280950
2675,4,Industrial,Load Bearing,Brick,Framing,1016,76.24,7624,20330,127.06,30,1070000
2852,2,Residential,Load Bearing,AAC Blocks,Framing,867,65.03,6503,17340,108.38,30,1140800
3692,4,Commercial,Steel Frame,AAC Blocks,Plastering,1418,106.33,10633,28355,177.22,20,443040
994,4,Residential,Steel Frame,Brick,Plastering,477,35.78,3578,9542,59.64,20,119280
4564,4,Commercial,Load Bearing,Brick,Excavation,1734,130.07,13007,34686,216.79,5,228200
3698,4,Industrial,Steel Frame,Concrete Blocks,Excavation,1598,119.82,11982,31951,199.69,5,184900
1115,4,Commercial,RCC,AAC Blocks,Plastering,357,26.76,2676,7136,44.6,20,133800
4570,2,Commercial,Load Bearing,Brick,Framing,1737,130.24,13024,34732,217.07,30,1828000
2998,2,Industrial,Load Bearing,AAC Blocks,Plastering,911,68.35,6835,18228,113.92,20,359760
4338,5,Commercial,RCC,AAC Blocks,Foundation,1388,104.11,10411,27763,173.52,15,650700
929,2,Commercial,Load Bearing,Concrete Blocks,Foundation,318,23.83,2383,6354,39.71,15,139350
3609,3,Industrial,RCC,Brick,Plastering,1444,108.27,10827,28872,180.45,20,433080
2095,5,Commercial,Steel Frame,AAC Blocks,Framing,804,60.34,6034,16090,100.56,30,838000
2628,5,Commercial,Steel Frame,AAC Blocks,Plastering,1009,75.69,7569,20183,126.14,20,315360
2340,2,Industrial,Load Bearing,AAC Blocks,Flooring,711,53.35,5335,14227,88.92,10,234000
2382,3,Industrial,RCC,AAC Blocks,Plastering,762,57.17,5717,15245,95.28,20,285840
3925,3,Residential,RCC,Brick,Framing,1570,117.75,11775,31400,196.25,30,1570000
3135,4,Commercial,Load Bearing,AAC Blocks,Excavation,953,71.48,7148,19061,119.13,5,156750
3846,3,Industrial,Steel Frame,AAC Blocks,Plastering,1477,110.76,11076,29537,184.61,20,461520
1026,3,Residential,Load Bearing,Concrete Blocks,Plastering,351,26.32,2632,7018,43.86,20,123120
1442,2,Residential,RCC,Brick,Excavation,577,43.26,4326,11536,72.1,5,72100
2538,3,Industrial,Load Bearing,Brick,Excavation,964,72.33,7233,19289,120.56,5,126900
3289,4,Industrial,Steel Frame,Concrete Blocks,Framing,1421,106.56,10656,28417,177.61,30,1315600
3479,5,Commercial,Steel Frame,AAC Blocks,Flooring,1336,100.2,10020,26719,166.99,10,347900
4554,2,Industrial,Load Bearing,AAC Blocks,Plastering,1384,103.83,10383,27688,173.05,20,546480
4061,2,Residential,Load Bearing,Concrete Blocks,Foundation,1389,104.16,10416,27777,173.61,15,609150
1422,4,Commercial,Load Bearing,Brick,Flooring,540,40.53,4053,10807,67.55,10,142200
674,3,Commercial,Steel Frame,AAC Blocks,Plastering,259,19.41,1941,5176,32.35,20,80880
1768,3,Commercial,Steel Frame,AAC Blocks,Flooring,679,50.92,5092,13578,84.86,10,176800
4560,4,Commercial,Load Bearing,Brick,Framing,1733,129.96,12996,34656,216.6,30,1824000
2365,2,Industrial,Steel Frame,Brick,Flooring,1135,85.14,8514,22704,141.9,10,236500
1772,4,Industrial,Load Bearing,Brick,Flooring,673,50.5,5050,13467,84.17,10,177200
3667,1,Industrial,RCC,Brick,Flooring,1467,110.01,11001,29336,183.35,10,366700
711,3,Commercial,RCC,Concrete Blocks,Framing,256,19.2,1920,5119,32,30,284400
1363,5,Commercial,Load Bearing,AAC Blocks,Plastering,414,31.08,3108,8287,51.79,20,163560
3010,5,Industrial,RCC,AAC Blocks,Plastering,963,72.24,7224,19264,120.4,20,361200
1972,4,Commercial,Steel Frame,Concrete Blocks,Excavation,852,63.89,6389,17038,106.49,5,98600
4932,4,Commercial,RCC,Concrete Blocks,Plastering,1776,133.16,13316,35510,221.94,20,591840
1842,5,Commercial,Load Bearing,Brick,Framing,700,52.5,5250,13999,87.5,30,736800
2243,4,Residential,Load Bearing,Concrete Blocks,Excavation,767,57.53,5753,15342,95.89,5,112150
796,4,Commercial,RCC,AAC Blocks,Framing,255,19.1,1910,5094,31.84,30,318400
4755,3,Residential,RCC,Brick,Foundation,1902,142.65,14265,38040,237.75,15,713250
3330,5,Residential,RCC,AAC Blocks,Plastering,1066,79.92,7992,21312,133.2,20,399600
4632,1,Industrial,Steel Frame,Brick,Excavation,2223,166.75,16675,44467,277.92,5,231600
2438,1,Commercial,Steel Frame,Brick,Excavation,1170,87.77,8777,23405,146.28,5,121900
2178,5,Industrial,Load Bearing,Concrete Blocks,Flooring,745,55.87,5587,14898,93.11,10,217800
4126,1,Industrial,Steel Frame,Brick,Plastering,1980,148.54,14854,39610,247.56,20,495120
1853,5,Residential,Steel Frame,AAC Blocks,Framing,712,53.37,5337,14231,88.94,30,741200
1011,1,Industrial,RCC,AAC Blocks,Framing,324,24.26,2426,6470,40.44,30,404400
3720,3,Commercial,Steel Frame,Concrete Blocks,Framing,1607,120.53,12053,32141,200.88,30,1488000
4461,4,Industrial,Load Bearing,AAC Blocks,Plastering,1356,101.71,10171,27123,169.52,20,535320
3222,5,Residential,RCC,AAC Blocks,Framing,1031,77.33,7733,20621,128.88,30,1288800
2285,3,Industrial,Steel Frame,AAC Blocks,Excavation,877,65.81,6581,17549,109.68,5,114250
1376,1,Industrial,Steel Frame,Brick,Excavation,660,49.54,4954,13210,82.56,5,68800
4694,4,Industrial,Load Bearing,AAC Blocks,Framing,1427,107.02,10702,28540,178.37,30,1877600
3607,3,Residential,Steel Frame,AAC Blocks,Plastering,1385,103.88,10388,27702,173.14,20,432840
1597,4,Commercial,Steel Frame,AAC Blocks,Excavation,613,45.99,4599,12265,76.66,5,79850
1206,1,Commercial,RCC,AAC Blocks,Foundation,386,28.94,2894,7718,48.24,15,180900
1218,5,Commercial,Load Bearing,Concrete Blocks,Plastering,417,31.24,3124,8331,52.07,20,146160
4798,2,Industrial,Load Bearing,AAC Blocks,Foundation,1459,109.39,10939,29172,182.32,15,719700
4290,4,Commercial,Steel Frame,AAC Blocks,Plastering,1647,123.55,12355,32947,205.92,20,514800
769,3,Commercial,Load Bearing,Concrete Blocks,Foundation,263,19.72,1972,5260,32.87,15,115350
4410,4,Residential,Steel Frame,Concrete Blocks,Foundation,1905,142.88,14288,38102,238.14,15,661500
762,5,Residential,RCC,Brick,Flooring,305,22.86,2286,6096,38.1,10,76200
2654,5,Commercial,Load Bearing,Concrete Blocks,Foundation,908,68.08,6808,18153,113.46,15,398100
1635,5,Residential,RCC,Concrete Blocks,Excavation,589,44.14,4414,11772,73.58,5,81750
4581,5,Commercial,RCC,Concrete Blocks,Foundation,1649,123.69,12369,32983,206.15,15,687150
4036,1,Residential,RCC,AAC Blocks,Foundation,1292,96.86,9686,25830,161.44,15,605400
1427,2,Commercial,Steel Frame,AAC Blocks,Foundation,548,41.1,4110,10959,68.5,15,214050
4116,4,Commercial,Steel Frame,Concrete Blocks,Flooring,1778,133.36,13336,35562,222.26,10,411600
1032,5,Commercial,Load Bearing,Concrete Blocks,Excavation,353,26.47,2647,7059,44.12,5,51600
1692,5,Residential,RCC,Brick,Flooring,677,50.76,5076,13536,84.6,10,169200
1258,4,Commercial,Steel Frame,Brick,Foundation,604,45.29,4529,12077,75.48,15,188700
3308,4,Industrial,RCC,Concrete Blocks,Excavation,1191,89.32,8932,23818,148.86,5,165400
1553,5,Commercial,Load Bearing,Brick,Flooring,590,44.26,4426,11803,73.77,10,155300
1728,4,Commercial,RCC,Brick,Plastering,691,51.84,5184,13824,86.4,20,207360
1350,2,Industrial,RCC,AAC Blocks,Foundation,432,32.4,3240,8640,54,15,202500
1853,5,Commercial,Load Bearing,Concrete Blocks,Excavation,634,47.53,4753,12675,79.22,5,92650
4202,2,Industrial,RCC,Brick,Foundation,1681,126.06,12606,33616,210.1,15,630300
3645,5,Residential,RCC,Concrete Blocks,Flooring,1312,98.41,9842,26244,164.03,10,364500
2190,3,Commercial,Steel Frame,Concrete Blocks,Plastering,946,70.96,7096,18922,118.26,20,262800
4740,1,Residential,Steel Frame,Concrete Blocks,Excavation,2048,153.58,15358,40954,255.96,5,237000
3517,2,Commercial,Steel Frame,Concrete Blocks,Flooring,1519,113.95,11395,30387,189.92,10,351700
4930,1,Industrial,RCC,Concrete Blocks,Plastering,1775,133.11,13311,35496,221.85,20,591600
2247,2,Industrial,Load Bearing,Concrete Blocks,Excavation,768,57.64,5764,15369,96.06,5,112350
3452,4,Industrial,Load Bearing,Brick,Excavation,1312,98.38,9838,26235,163.97,5,172600
3428,2,Commercial,Steel Frame,Brick,Plastering,1645,123.41,12341,32909,205.68,20,411360
4252,1,Commercial,RCC,Brick,Framing,1701,127.56,12756,34016,212.6,30,1700800
4217,4,Residential,Steel Frame,AAC Blocks,Plastering,1619,121.45,12145,32387,202.42,20,506040
4129,1,Industrial,RCC,AAC Blocks,Framing,1321,99.1,9910,26426,165.16,30,1651600
4984,1,Commercial,Steel Frame,Concrete Blocks,Excavation,2153,161.48,16148,43062,269.14,5,249200
1901,3,Commercial,RCC,Brick,Foundation,760,57.03,5703,15208,95.05,15,285150
1962,4,Residential,RCC,Concrete Blocks,Foundation,706,52.97,5297,14126,88.29,15,294300
1903,2,Industrial,RCC,AAC Blocks,Framing,609,45.67,4567,12179,76.12,30,761200
1965,4,Residential,Steel Frame,Brick,Framing,943,70.74,7074,18864,117.9,30,786000
1573,2,Residential,Load Bearing,Brick,Plastering,598,44.83,4483,11955,74.72,20,188760
4263,1,Residential,RCC,AAC Blocks,Flooring,1364,102.31,10231,27283,170.52,10,426300
1313,1,Industrial,RCC,Concrete Blocks,Foundation,473,35.45,3545,9454,59.09,15,196950
1694,1,Industrial,Steel Frame,Concrete Blocks,Excavation,732,54.89,5489,14636,91.48,5,84700
3872,4,Industrial,Load Bearing,Concrete Blocks,Flooring,1324,99.32,9932,26484,165.53,10,387200
1949,3,Industrial,Steel Frame,AAC Blocks,Framing,748,56.13,5613,14968,93.55,30,779600
510,2,Commercial,Steel Frame,AAC Blocks,Plastering,196,14.69,1469,3917,24.48,20,61200
2689,3,Commercial,Load Bearing,Concrete Blocks,Flooring,920,68.97,6897,18393,114.95,10,268900
4255,2,Industrial,RCC,AAC Blocks,Plastering,1362,102.12,10212,27232,170.2,20,510600
2935,5,Residential,Load Bearing,Concrete Blocks,Flooring,1004,75.28,7528,20075,125.47,10,293500
4423,1,Industrial,RCC,AAC Blocks,Framing,1415,106.15,10615,28307,176.92,30,1769200
811,4,Residential,Load Bearing,AAC Blocks,Flooring,247,18.49,1849,4931,30.82,10,81100
3636,2,Industrial,Load Bearing,Concrete Blocks,Framing,1244,93.26,9326,24870,155.44,30,1454400
1101,2,Industrial,Steel Frame,Brick,Plastering,528,39.64,3964,10570,66.06,20,132120
2461,1,Industrial,Steel Frame,Concrete Blocks,Foundation,1063,79.74,7974,21263,132.89,15,369150
3994,1,Commercial,RCC,AAC Blocks,Foundation,1278,95.86,9586,25562,159.76,15,599100
3281,1,Residential,RCC,Concrete Blocks,Framing,1181,88.59,8859,23623,147.65,30,1312400
2412,1,Industrial,RCC,Concrete Blocks,Flooring,868,65.12,6512,17366,108.54,10,241200
1555,4,Commercial,RCC,Concrete Blocks,Foundation,560,41.98,4198,11196,69.98,15,233250
2675,5,Commercial,Load Bearing,Brick,Flooring,1016,76.24,7624,20330,127.06,10,267500
2238,2,Industrial,Load Bearing,AAC Blocks,Plastering,680,51.03,5103,13607,85.04,20,268560
4609,3,Residential,Load Bearing,AAC Blocks,Plastering,1401,105.09,10509,28023,175.14,20,553080
1620,1,Commercial,RCC,Brick,Excavation,648,48.6,4860,12960,81,5,81000
4709,4,Residential,RCC,Brick,Foundation,1884,141.27,14127,37672,235.45,15,706350
1617,5,Industrial,Load Bearing,Concrete Blocks,Flooring,553,41.48,4148,11060,69.13,10,161700
512,3,Residential,RCC,AAC Blocks,Flooring,164,12.29,1229,3277,20.48,10,51200
4619,5,Commercial,RCC,AAC Blocks,Framing,1478,110.86,11086,29562,184.76,30,1847600
3246,2,Commercial,Steel Frame,AAC Blocks,Flooring,1246,93.48,9348,24929,155.81,10,324600
2113,5,Residential,Steel Frame,Brick,Foundation,1014,76.07,7607,20285,126.78,15,316950
3693,2,Commercial,RCC,Brick,Plastering,1477,110.79,11079,29544,184.65,20,443160
3339,4,Residential,Load Bearing,AAC Blocks,Plastering,1015,76.13,7613,20301,126.88,20,400680
4348,4,Commercial,Steel Frame,Concrete Blocks,Flooring,1878,140.88,14088,37567,234.79,10,434800
2810,3,Industrial,Steel Frame,Brick,Flooring,1349,101.16,10116,26976,168.6,10,281000
1957,4,Commercial,Load Bearing,Concrete Blocks,Framing,669,50.2,5020,13386,83.66,30,782800
3167,1,Industrial,Steel Frame,Concrete Blocks,Excavation,1368,102.61,10261,27363,171.02,5,158350
887,1,Commercial,Load Bearing,AAC Blocks,Plastering,270,20.22,2022,5393,33.71,20,106440
3429,1,Residential,RCC,Brick,Plastering,1372,102.87,10287,27432,171.45,20,411480
4965,1,Industrial,Steel Frame,AAC Blocks,Foundation,1907,142.99,14299,38131,238.32,15,744750
2274,1,Residential,RCC,AAC Blocks,Foundation,728,54.58,5458,14554,90.96,15,341100
2117,4,Industrial,Steel Frame,Concrete Blocks,Framing,915,68.59,6859,18291,114.32,30,846800
3221,1,Residential,Load Bearing,Brick,Excavation,1224,91.8,9180,24480,153,5,161050
1152,3,Residential,Steel Frame,Concrete Blocks,Plastering,498,37.32,3732,9953,62.21,20,138240
651,5,Commercial,Load Bearing,AAC Blocks,Plastering,198,14.84,1484,3958,24.74,20,78120
3572,5,Residential,Steel Frame,Concrete Blocks,Framing,1543,115.73,11573,30862,192.89,30,1428800
3039,3,Commercial,RCC,Brick,Framing,1216,91.17,9117,24312,151.95,30,1215600
729,2,Residential,RCC,Concrete Blocks,Foundation,262,19.68,1968,5249,32.81,15,109350
1061,4,Residential,RCC,Concrete Blocks,Foundation,382,28.65,2865,7639,47.75,15,159150
1231,2,Industrial,Steel Frame,Concrete Blocks,Flooring,532,39.88,3988,10636,66.47,10,123100
3466,2,Industrial,Steel Frame,AAC Blocks,Plastering,1331,99.82,9982,26619,166.37,20,415920
3324,5,Industrial,Load Bearing,Brick,Flooring,1263,94.73,9473,25262,157.89,10,332400
4576,5,Commercial,Steel Frame,Concrete Blocks,Flooring,1977,148.26,14826,39537,247.1,10,457600
4781,3,Commercial,Load Bearing,Brick,Flooring,1817,136.26,13626,36336,227.1,10,478100
3936,2,Residential,RCC,Brick,Plastering,1574,118.08,11808,31488,196.8,20,472320
2613,2,Residential,RCC,Concrete Blocks,Foundation,941,70.55,7055,18814,117.59,15,391950
4416,3,Commercial,RCC,Concrete Blocks,Foundation,1590,119.23,11923,31795,198.72,15,662400
582,5,Residential,Steel Frame,Concrete Blocks,Plastering,251,18.86,1886,5028,31.43,20,69840
2654,3,Industrial,Load Bearing,Brick,Flooring,1009,75.64,7564,20170,126.07,10,265400
1945,2,Commercial,RCC,AAC Blocks,Framing,622,46.68,4668,12448,77.8,30,778000
3206,2,Industrial,RCC,Concrete Blocks,Plastering,1154,86.56,8656,23083,144.27,20,384720
4296,1,Residential,RCC,Brick,Excavation,1718,128.88,12888,34368,214.8,5,214800
3994,3,Commercial,RCC,AAC Blocks,Framing,1278,95.86,9586,25562,159.76,30,1597600
3851,3,Residential,Steel Frame,Brick,Excavation,1848,138.64,13864,36970,231.06,5,192550
3236,5,Industrial,Load Bearing,AAC Blocks,Foundation,984,73.78,7378,19675,122.97,15,485400
2429,3,Industrial,Load Bearing,Concrete Blocks,Plastering,831,62.3,6230,16614,103.84,20,291480
1270,2,Commercial,RCC,AAC Blocks,Excavation,406,30.48,3048,8128,50.8,5,63500
3925,4,Commercial,Steel Frame,Concrete Blocks,Excavation,1696,127.17,12717,33912,211.95,5,196250
3154,3,Residential,RCC,Brick,Foundation,1262,94.62,9462,25232,157.7,15,473100
4041,3,Commercial,RCC,AAC Blocks,Foundation,1293,96.98,9698,25862,161.64,15,606150
2121,4,Residential,RCC,Concrete Blocks,Framing,764,57.27,5727,15271,95.45,30,848400
846,4,Residential,Steel Frame,Concrete Blocks,Foundation,365,27.41,2741,7309,45.68,15,126900
1288,3,Industrial,Load Bearing,AAC Blocks,Excavation,392,29.37,2937,7831,48.94,5,64400
1949,4,Commercial,Steel Frame,Concrete Blocks,Excavation,842,63.15,6315,16839,105.25,5,97450
2579,1,Commercial,Steel Frame,Concrete Blocks,Excavation,1114,83.56,8356,22283,139.27,5,128950
3548,5,Commercial,RCC,AAC Blocks,Framing,1135,85.15,8515,22707,141.92,30,1419200
4193,2,Residential,Steel Frame,Concrete Blocks,Plastering,1811,135.85,13585,36228,226.42,20,503160
1465,3,Industrial,Steel Frame,Brick,Framing,703,52.74,5274,14064,87.9,30,586000
4398,2,Residential,RCC,Brick,Foundation,1759,131.94,13194,35184,219.9,15,659700
1708,3,Industrial,Steel Frame,Brick,Foundation,820,61.49,6149,16397,102.48,15,256200
4059,3,Residential,Load Bearing,AAC Blocks,Excavation,1234,92.55,9255,24679,154.24,5,202950
3495,1,Industrial,Steel Frame,Concrete Blocks,Framing,1510,113.24,11324,30197,188.73,30,1398000
4067,1,Industrial,RCC,AAC Blocks,Framing,1301,97.61,9761,26029,162.68,30,1626800
2808,2,Commercial,Steel Frame,Brick,Foundation,1348,101.09,10109,26957,168.48,15,421200
2483,3,Residential,Steel Frame,AAC Blocks,Excavation,953,71.51,7151,19069,119.18,5,124150
2339,2,Industrial,RCC,Brick,Framing,936,70.17,7017,18712,116.95,30,935600
