ProjectType,ProjectSize_sqm,Location,Complexity,NumFloors,StartDate,EndDate,ConstructionCost,MaterialCost,LaborCost,EquipmentCost,PermitCost,ContingencyCost,OverheadCost,NumWorkers,WeatherConditions,PrevProjectCompletionTime,PrevProjectCost,ConstructionLevel
Industrial,2556,Rural,5,17,06-09-2018 22:25,19-04-2019 22:25,4782025.125,1725117.418,1357890.928,507069.3152,221314.2883,441268.817,329601.141,296,Snow,130,42510817.83,Small
Residential,15628,Rural,1,46,08-08-2022 07:38,10-10-2024 07:38,28487803.14,6518577.598,11083549.6,2581854.591,316004.4555,1822903.712,3541110.939,20,Clear,157,8199221.718,Large
Industrial,17696,Urban,3,4,13-06-2018 20:40,05-01-2021 20:40,7342931.512,2062789.77,2563634.285,457542.2411,256921.8216,722927.7057,490471.6425,76,Foggy,63,46492153.55,Large
Educational,4648,Rural,1,50,31-03-2019 04:02,13-02-2020 04:02,10650987.44,5273654.731,2868254.038,1368447.544,307553.7838,620082.7379,1390739.285,186,Clear,730,8804895.433,Small
Commercial,11979,Rural,2,38,09-04-2023 11:02,28-12-2024 11:02,14756423.74,7716526.576,3217427.915,1890854.539,526310.2994,447538.1817,2115042.051,182,Foggy,81,4543696.045,Large
Industrial,8371,Urban,4,38,03-08-2024 03:15,15-03-2026 03:15,4024722.675,1012317.778,927268.0976,585931.0585,73199.0216,183218.7311,549544.7789,17,Rain,766,52173069.61,Medium
Educational,6892,Suburban,2,38,15-03-2015 12:43,15-05-2016 12:43,11537783.64,2836669.277,4334278.805,1459065.173,493901.8969,435702.8763,2074899.717,12,Snow,415,25616847.85,Medium
Residential,9406,Rural,4,14,18-04-2023 08:48,23-12-2024 08:48,12992429.04,3575478.342,4205617.942,1432448.398,493086.097,424460.9574,2194445.627,282,Clear,724,15709302.3,Medium
Educational,8854,Suburban,4,5,05-08-2020 07:39,04-02-2022 07:39,7571403.712,2051651.103,2073027.628,850618.9941,103655.1015,466660.2891,1055728.973,209,Foggy,604,45209339.86,Medium
Industrial,6479,Urban,2,5,16-01-2021 00:34,19-03-2022 00:34,13890515.33,7942575.134,3201373.539,1554404.818,76853.93339,1373006.536,2612497.125,218,Foggy,732,59154838.87,Medium
Educational,17057,Rural,1,43,09-09-2015 20:15,05-04-2018 20:15,21656240.52,8006450.428,7632318.358,1735003.001,608634.3642,1711471.395,2418817.432,125,Windy,968,22392110.49,Large
Commercial,12267,Suburban,1,45,06-12-2024 16:41,30-11-2026 16:41,12362782,4540087.18,4776247.976,1198633.539,194630.3561,895869.71,1883502.019,201,Storm,991,2681857.339,Large
Infrastructure,3472,Rural,5,1,11-02-2016 07:21,21-01-2017 07:21,4418390.248,2156835.079,726725.3856,357153.3173,177976.0304,338978.9265,621733.3798,171,Clear,961,10167797.4,Small
Commercial,12968,Urban,1,34,05-05-2019 08:30,13-04-2021 08:30,22365572.79,10481392.08,7650108.07,2539037.735,414955.9745,1813063.016,1372673.013,54,Clear,321,25818927.7,Large
Educational,13934,Rural,3,38,15-08-2024 04:37,06-11-2026 04:37,14891648.37,6719088.012,5495024.683,1408052.671,335837.9815,918701.2659,2287096.232,299,Clear,618,72072304.64,Large
Residential,17234,Rural,5,46,31-07-2020 20:31,30-05-2023 20:31,22287512.59,11151622.05,7767840.89,2255121.969,817647.486,1921109.213,2256507.491,263,Snow,989,86161300.33,Large
Industrial,15623,Suburban,5,46,14-05-2016 20:37,21-11-2018 20:37,28768595.56,11353882.52,10424079.71,3509687.861,1179332.565,1765665.203,3690680.887,295,Snow,493,91902980.26,Large
Industrial,12819,Suburban,1,50,14-04-2020 18:56,16-05-2022 18:56,17047446.23,10222003.28,4243722.069,2346047.308,365754.3074,806870.2279,1230426.348,174,Clear,762,97420397.73,Large
Infrastructure,15167,Rural,4,23,31-08-2015 03:17,12-11-2017 03:17,35416049.26,15275470.54,9567240.671,4872638.545,1352703.162,1817162.67,4022994.46,115,Snow,137,8856542.494,Large
Educational,2740,Rural,3,19,02-11-2018 12:53,29-05-2019 12:53,1269351.395,358881.042,381405.1503,165103.5019,18577.40699,64269.39259,156111.5603,25,Foggy,491,9961535.896,Small
Residential,9323,Rural,2,46,28-04-2023 00:27,20-09-2024 00:27,15344959.8,3518735.759,4966747.187,1156403.474,172691.5805,1236021.758,2178397.07,221,Foggy,185,33305390.29,Medium
Educational,5575,Urban,1,30,05-08-2024 08:50,12-06-2025 08:50,7369435.884,1950287.914,2610992.89,435867.9492,344321.7705,505827.8201,1156667.158,178,Snow,199,57648659.48,Medium
Educational,989,Suburban,3,16,17-07-2017 03:05,05-12-2017 03:05,431102.3371,135047.3786,153052.8389,24068.86431,4714.760953,20155.24878,60018.88784,72,Windy,678,81628920.49,Small
Educational,17806,Urban,1,11,22-03-2020 16:23,15-10-2022 16:23,9211975.733,4459338.553,2299463.392,703524.6399,333172.3515,404879.7918,1625946.119,170,Foggy,385,70629639.05,Large
Educational,6716,Suburban,3,30,05-07-2023 23:22,21-08-2024 23:22,6399110.127,1579633.091,1749558.914,531553.956,96277.45602,289347.3167,1095920.351,196,Clear,446,33585455.54,Medium
Industrial,6392,Suburban,4,43,19-02-2015 03:01,16-03-2016 03:01,14014826.48,7851689.292,2622417.966,1769861.013,353823.5654,1310651.926,1712484.597,69,Foggy,88,35991682.39,Medium
Infrastructure,13037,Rural,5,14,20-01-2017 22:21,10-02-2019 22:21,17787182.81,3930373.815,7080621.747,2118492.649,91462.61002,1190936.282,3545233.443,223,Storm,345,82803802.78,Large
Industrial,18468,Suburban,5,42,14-09-2022 15:35,27-06-2025 15:35,42042831.54,13158606.1,7713602.431,4666052.336,1582682.561,3041884.564,3984229.701,49,Snow,248,12006756.57,Large
Educational,4685,Urban,1,46,10-01-2024 04:43,15-10-2024 04:43,10460182.02,4763254.005,2325901.241,942323.9149,125912.6019,524878.9816,1061988.903,229,Clear,358,4420223.574,Small
Educational,4466,Urban,4,23,18-07-2022 10:52,26-07-2023 10:52,10747027.47,2670528.849,3687196.977,1060444.569,194072.6987,961718.7428,638468.0381,114,Windy,520,42755183.01,Small
Infrastructure,10301,Urban,3,19,07-06-2019 19:55,27-01-2021 19:55,24296080.87,14509797.69,6613498.628,2026143.408,159199.5657,1265843.612,4322684.556,288,Clear,571,68072463.67,Large
Residential,805,Urban,3,42,31-07-2018 19:59,24-11-2018 19:59,1948749.857,884878.65,507642.953,234732.2196,94013.58756,66763.75785,147866.4454,21,Rain,235,20941205.76,Small
Industrial,7781,Urban,2,3,29-03-2018 01:29,15-06-2019 01:29,8670815.775,2513815.116,1671908.217,476890.7219,141489.5655,495851.0342,1179197.625,131,Rain,225,2496570.297,Medium
Infrastructure,14770,Suburban,4,44,28-01-2023 12:23,05-05-2025 12:23,21187213.19,9227501.541,6970770.02,2911830.606,458560.5406,1384478.008,4133377.618,261,Rain,129,81127309.94,Large
Commercial,7903,Suburban,2,1,27-07-2022 03:16,23-12-2023 03:16,4377067.43,2054321.59,1428843.439,574990.7375,27743.34393,198978.6826,825974.3792,219,Foggy,600,57532491.42,Medium
Residential,15838,Urban,2,6,20-03-2024 22:21,26-08-2026 22:21,36355445.92,20111781.48,8558893.382,3556436.454,967097.8437,1133600.013,3776871.474,218,Clear,923,64970259.01,Large
Commercial,4979,Rural,2,24,22-10-2018 07:30,14-09-2019 07:30,4170852.156,2193488.161,1324780.324,348989.0379,77420.80408,198962.2009,764244.1757,195,Foggy,379,6929256.373,Small
Infrastructure,19012,Suburban,1,30,21-05-2016 20:01,09-03-2019 20:01,18117706.75,6970752.285,4928141.815,2510437.131,164290.1875,625595.7414,2187665.397,180,Snow,620,37369905.72,Large
Residential,4334,Suburban,1,33,18-11-2020 03:23,07-11-2021 03:23,4503343.425,928533.8667,904631.645,431414.922,57553.61972,254728.335,779985.8048,136,Rain,967,67528612.29,Small
Educational,9747,Rural,1,50,01-11-2024 06:17,19-05-2026 06:17,11809756.05,4242453.985,4116630.087,1010096.214,418403.5227,1066462.217,896600.1042,150,Storm,375,12928561.83,Medium
Infrastructure,17158,Rural,5,26,01-08-2018 12:17,23-03-2021 12:17,26659050.38,6548867.789,5928915.199,1633648.564,805366.9743,1997150.672,4914373.275,273,Windy,413,46990761.17,Large
Educational,18883,Urban,4,23,02-11-2020 06:17,30-07-2023 06:17,25448207.05,13826038.39,4564405.25,2190707.989,1052086.167,1743547.587,2964765.652,239,Windy,252,75815618.69,Large
Infrastructure,6308,Suburban,1,31,04-02-2019 20:47,02-03-2020 20:47,8636023.261,5044937.057,2881488.732,507266.4309,80687.17727,411362.6956,1205501.391,236,Rain,485,28234374.68,Medium
Residential,15538,Suburban,1,20,03-03-2018 05:38,06-08-2020 05:38,11408223.33,4075210.998,2150462.193,1565982.657,292262.6239,426101.6866,2015232.375,298,Rain,841,19403877.86,Large
Residential,13934,Urban,1,41,24-01-2016 18:42,31-12-2017 18:42,24058468.07,12654466.52,8360458.838,3094265.875,759943.4827,745037.4339,3131357.607,109,Snow,234,73730657.13,Large
Residential,14083,Suburban,3,25,06-04-2023 06:57,23-06-2025 06:57,35108583.07,14663667.95,6629289.238,2502476.715,1700083.848,2078122.558,3385887.396,139,Windy,741,75119363.25,Large
Educational,2518,Suburban,5,11,16-05-2021 12:35,03-02-2022 12:35,2322507.002,620373.5422,701670.8643,154179.7494,20014.59096,177672.1714,404298.5384,81,Storm,889,29577762.9,Small
Residential,5418,Urban,5,22,08-08-2019 06:45,26-08-2020 06:45,5732846.902,2875441.728,1401414.569,764537.9141,191577.347,455105.9167,1127800.045,70,Storm,345,20570081.41,Medium
Residential,9689,Suburban,2,20,24-07-2021 01:44,05-03-2023 01:44,4807298.151,2297024.331,1778228.571,562643.9888,190853.1263,450062.0109,872714.119,162,Snow,819,40717488.59,Medium
Infrastructure,17616,Suburban,4,4,17-01-2022 04:32,07-11-2024 04:32,29728190.62,14849294.54,5451409.581,3633384.994,710336.7883,2165298.587,2783069.595,290,Storm,670,20688370.28,Large
Infrastructure,8992,Rural,3,24,30-04-2017 06:46,28-10-2018 06:46,19772029.34,10851362.05,5355019.811,2350040.449,231378.004,845641.6211,3657662.163,257,Storm,656,72281835.65,Medium
Industrial,15187,Suburban,5,16,07-12-2024 14:24,15-04-2027 14:24,13029244.2,3213592.459,1979671.011,1136754.774,390910.4254,1296651.417,1616751.753,10,Windy,335,59575917.83,Large
Commercial,18731,Suburban,1,15,30-08-2019 22:58,07-07-2022 22:58,18267977.7,6787721.696,6108186.35,2666877.898,567596.0274,1119073.271,2637656.331,258,Clear,752,65346598.47,Large
Industrial,773,Urban,2,47,03-04-2017 16:04,25-05-2017 16:04,1888625.807,854711.6546,697856.1479,176274.8443,55458.47275,172717.1514,226909.2302,161,Storm,100,32206983.04,Small
Educational,15909,Urban,3,48,19-02-2016 02:02,22-08-2018 02:02,36689781.19,14941088.56,7318789.073,1963902.261,1538914.325,3071103.359,4444936.969,62,Snow,738,38268097.14,Large
Industrial,7815,Suburban,2,47,08-06-2015 20:48,12-10-2016 20:48,5722525.495,1714995.483,1831450.666,675571.5334,155782.9985,240776.3785,806812.5303,38,Rain,661,88146972.16,Medium
Educational,11473,Urban,4,20,24-12-2024 11:36,16-12-2026 11:36,25755955.44,10003024.66,9533138.135,3147502.502,1165949.537,1067191.082,3144384.816,251,Foggy,539,61749756.13,Large
Infrastructure,2645,Suburban,2,32,29-02-2020 11:17,27-10-2020 11:17,5200494.966,1658310.827,1986901.93,495292.2273,154836.7707,396580.9844,941003.1372,80,Rain,711,21127851.1,Small
Residential,8096,Rural,2,26,19-06-2017 23:30,26-11-2018 23:30,9800740.339,3553904.317,3528400.965,569691.2659,373697.7491,908693.6475,665367.8452,105,Foggy,882,86129851.04,Medium
Infrastructure,17098,Suburban,1,11,21-10-2021 23:47,17-04-2024 23:47,13042372.54,7722536.873,5078461.487,1779050.334,625620.9105,551394.6705,1125753.565,37,Windy,222,9430733.65,Large
Infrastructure,8632,Rural,4,44,20-10-2016 10:38,20-03-2018 10:38,19561105.5,6298521.235,7563821.079,2148310.047,305328.8006,1064947.683,3355965.943,140,Storm,253,96650830.43,Medium
Infrastructure,5658,Urban,2,19,05-01-2022 13:31,05-01-2023 13:31,7277910.026,3446185.041,1571994.096,647134.6798,171017.1401,389453.7621,1231752.28,25,Storm,864,43620724.45,Medium
Commercial,7531,Urban,3,49,16-08-2024 14:23,14-01-2026 14:23,8964438.315,5080098.734,2545389.407,564752.7602,60540.26119,481749.9223,1160201.566,49,Snow,873,17294311.94,Medium
Infrastructure,19930,Urban,4,12,08-08-2019 06:36,28-08-2022 06:36,33150245.03,15198137.41,8874200.367,4087357.81,657424.4149,2580697.776,3434891.003,71,Rain,813,64225537.72,Large
Industrial,18713,Rural,1,32,14-05-2021 10:07,10-02-2024 10:07,37525934.86,18592128.93,7336239.689,5030224.725,551847.8696,2845130.318,3936224.729,133,Foggy,484,90465523.09,Large
Residential,2510,Urban,4,33,01-10-2022 12:28,25-06-2023 12:28,1121694.895,663487.167,317452.4707,135204.0655,44497.31541,46826.43112,209802.8801,24,Foggy,874,40861891.43,Small
Infrastructure,5789,Rural,3,49,31-07-2016 15:14,08-08-2017 15:14,9724237.175,3710180.44,1992663.195,1006059.826,235910.2528,373261.88,1392098.528,248,Storm,454,49134595.21,Medium
Educational,9721,Urban,4,21,30-04-2016 14:12,05-03-2018 14:12,6004515.697,1338090.4,1833664.426,841288.0556,82570.90317,553058.0859,922824.8306,53,Windy,982,82097718.13,Medium
Residential,18874,Urban,4,7,01-09-2023 22:06,20-08-2026 22:06,15408657.92,6148484.445,2925503.589,1132478.189,559875.4751,721574.2948,2378987.973,182,Foggy,670,70739833.98,Large
Residential,5182,Rural,2,17,13-06-2024 19:32,10-08-2025 19:32,8509367.009,1945704.134,2519325.065,980184.3001,91991.36899,773850.5084,757514.7548,190,Rain,962,45312903.57,Medium
Educational,15049,Rural,2,12,14-05-2016 10:55,14-07-2018 10:55,24693995.25,10975799.79,8950391.039,3092088.663,536422.7565,1755517.902,3907016.973,165,Foggy,610,31229196.58,Large
Commercial,15601,Urban,2,41,30-01-2020 08:39,06-07-2022 08:39,8142729.468,1850451.241,2570390.836,730010.3683,47031.50718,315682.5748,1087572.862,126,Foggy,584,36102287.07,Large
Educational,16997,Urban,3,45,31-10-2023 08:14,29-06-2026 08:14,27334863.87,15110026.81,7498798.906,2860077.553,962850.6808,2598477.98,2639336.317,154,Windy,763,24609468.98,Large
Industrial,7239,Suburban,1,14,03-11-2017 02:31,11-01-2019 02:31,15535794.27,4845222.202,2478631.816,2292727.135,626209.0369,1510717.864,2690794.329,291,Foggy,536,20434049.91,Medium
Educational,18698,Rural,2,20,16-02-2023 00:44,16-12-2025 00:44,22441606.11,9041485.313,5121437.851,2315698.458,717384.5891,1658662.202,1560082.841,186,Storm,832,94161858.63,Large
Educational,10873,Rural,1,47,02-06-2016 11:58,24-12-2017 11:58,6707362.297,3468383.267,1730255.175,582972.5626,281184.5426,390707.0567,830459.4594,188,Rain,353,21837878.41,Large
Residential,2043,Suburban,3,18,06-08-2023 00:57,20-02-2024 00:57,2083354.706,844647.5668,823063.1805,279897.3071,20438.58615,169290.4623,157159.7516,197,Clear,615,18443448.2,Small
Educational,12749,Rural,1,15,17-08-2021 17:41,10-06-2023 17:41,31651892.32,18513566.96,8706761.126,2935202.614,1441361.132,2366540.638,4133610.232,251,Windy,425,33350130.24,Large
Infrastructure,18984,Urban,5,45,13-03-2024 03:11,21-03-2027 03:11,36455039.15,13245738.29,8863932.015,5120832.23,350141.9208,1625017.277,2610216.517,199,Clear,887,33485340.72,Large
Residential,7231,Rural,3,38,02-01-2017 00:36,06-05-2018 00:36,15097471.51,5714342.263,5839958.386,1772290.328,386156.5068,1346047.555,1854992.06,50,Windy,943,19650541.29,Medium
Residential,9924,Rural,2,7,03-03-2022 07:20,22-08-2023 07:20,23748412.15,13569683.93,5964103.117,3303120.743,176301.2851,1360534.157,3054217.538,165,Clear,269,17816295.39,Medium
Residential,17928,Suburban,3,36,07-05-2024 23:20,02-01-2027 23:20,20158942.76,4441505.771,4844707.645,1263538.246,667948.658,1906138.605,3756972.249,240,Snow,195,5949877.071,Large
Residential,1973,Suburban,4,37,22-10-2016 00:58,12-04-2017 00:58,1107658.987,263145.8188,395921.9904,127193.5741,25957.9887,56924.04904,58305.08601,203,Foggy,347,68470720.67,Small
Commercial,4370,Suburban,4,44,19-11-2017 20:22,31-07-2018 20:22,8341718.6,2197875.656,1405389.593,1116078.008,365092.5031,714641.3296,1140175.413,197,Windy,139,23660979.92,Small
Infrastructure,19503,Urban,5,30,22-02-2023 09:01,16-01-2026 09:01,48680498.69,22471101.08,17126582.89,6953579.158,1711134.185,4742060.509,6044253.696,91,Foggy,117,42840657.81,Large
Commercial,2016,Suburban,2,41,15-01-2022 12:51,06-08-2022 12:51,4257919.808,2351780.918,1132176.11,535803.0136,62047.25341,296443.7683,765168.6645,262,Clear,822,72763661.12,Small
Industrial,13314,Suburban,3,17,31-03-2016 23:39,10-04-2018 23:39,13840287.5,7740862.811,5046118.754,1459753.955,385080.9853,978212.3123,2488116,238,Snow,165,4659254.307,Large
Commercial,7354,Rural,4,5,12-04-2023 19:35,21-06-2024 19:35,18308175.3,7341079.053,4307752.726,2344104.049,204940.8094,793791.6195,2287781.254,264,Snow,52,37565333.47,Medium
Residential,4881,Urban,2,2,05-04-2023 20:03,26-02-2024 20:03,9051122.937,2861842.417,1473516.696,1196270.124,384530.8711,412185.3983,1094817.731,78,Storm,487,93069685.21,Small
Infrastructure,12296,Urban,1,40,05-06-2021 22:36,18-04-2023 22:36,7110004.829,4087682.313,2522628.03,734743.5628,252347.7587,650944.645,1099978.369,80,Snow,280,45253844.48,Large
Commercial,2516,Suburban,4,28,09-02-2021 01:38,29-09-2021 01:38,4781210.488,1483020.865,1678990.878,592372.1545,182334.3633,210518.8101,532773.8598,214,Rain,384,19752866.94,Small
Commercial,11560,Rural,2,19,06-01-2024 03:26,31-08-2025 03:26,27874056.26,10070516.31,7185286.735,4044728.47,1257883.952,1664519.624,2622891.982,273,Rain,56,66630485.19,Large
Infrastructure,5161,Suburban,2,27,19-05-2023 06:56,23-05-2024 06:56,6635605.156,2102024.41,1154173.648,405893.9018,222589.78,534760.8912,775750.6245,61,Foggy,887,73805167.45,Medium
Commercial,14463,Suburban,3,46,29-12-2021 22:36,14-03-2024 22:36,14190579.9,7741473.525,3525290.949,1063486.341,397824.7374,773144.0962,799203.1189,172,Clear,620,93491957.85,Large
Infrastructure,17915,Suburban,2,47,10-02-2015 04:27,08-08-2017 04:27,23511983.86,11605446.82,7198601.229,2380518.084,983033.7004,927247.5697,3496663.916,18,Windy,251,98176714.89,Large
Industrial,16677,Urban,5,45,28-12-2018 03:19,26-06-2021 03:19,12351258.77,4815632.087,2298696.849,1170111.013,224643.4522,525548.6243,2063551.406,159,Snow,71,26579512.32,Large
Commercial,6784,Urban,1,17,09-02-2021 17:10,17-03-2022 17:10,15783350.08,5130956.632,3895491.187,2356762.491,504803.8514,686931.8716,2223099.796,209,Storm,472,88389172.18,Medium
Infrastructure,6387,Rural,3,50,24-06-2024 17:15,26-09-2025 17:15,7449032.758,3271005.379,2605621.217,438799.2676,195348.9548,477029.0815,1244023.589,178,Clear,720,1391398.382,Medium
Residential,9321,Rural,3,11,27-10-2018 02:00,26-02-2020 02:00,11262875.77,5739156.784,3668960.949,1606830.286,438078.5683,489655.9544,1359194.763,102,Rain,129,5889406.876,Medium
Infrastructure,13544,Suburban,5,42,23-10-2016 10:48,26-01-2019 10:48,28876395.68,11803070.91,5448438.166,3922396.633,1089149.82,1078710.018,2502162.876,170,Storm,478,29681534.42,Large
Infrastructure,19781,Urban,3,18,15-05-2021 05:52,29-04-2024 05:52,47951592.58,15506627.61,14818414.21,2658662.032,1024158.085,3838282.383,7435201.871,21,Clear,663,77642287.59,Large
Residential,1419,Urban,5,20,12-02-2021 18:26,05-09-2021 18:26,3430492.142,1009177.217,969250.1113,391008.4163,17286.84401,219687.9175,387133.4364,111,Snow,640,42107690.12,Small
Commercial,6164,Urban,4,28,25-02-2019 23:49,08-04-2020 23:49,4144688.831,2466051.173,751317.5773,512494.0057,133329.0606,196071.7141,688038.5202,137,Snow,299,29495459.6,Medium
Residential,2443,Urban,4,24,13-08-2021 19:55,18-02-2022 19:55,5021476.657,1674530.305,1311153.246,329659.3571,52582.55956,205349.8344,422801.5325,180,Foggy,171,52004518.4,Small
Commercial,16946,Rural,2,32,27-11-2022 19:18,21-07-2025 19:18,27623674.46,15181941.19,6594781.747,3047047.137,891538.6236,1644615.342,3067519.593,229,Snow,603,13565448.25,Large
Educational,2710,Suburban,5,36,18-07-2016 03:44,07-04-2017 03:44,5782172.482,2171581.816,1217418.08,835564.37,245751.4047,401984.8937,497506.911,201,Snow,217,97905098.3,Small
Infrastructure,18871,Suburban,2,31,09-03-2023 17:49,26-12-2025 17:49,38338495.21,19218486.25,9578344.089,2446057.451,1718844.291,3574771.807,6927317.665,128,Storm,322,68381272.14,Large
Educational,17926,Suburban,1,14,29-03-2023 23:39,27-11-2025 23:39,19242028.78,9169604.312,6669062.724,1238434.708,517619.1256,1037456.78,1828143.675,43,Windy,323,90402857.18,Large
Educational,8770,Suburban,2,8,21-11-2022 10:17,01-06-2024 10:17,14912996.07,6369742.788,2898303.239,1203607.86,276688.7601,1416982.966,1058721.596,148,Rain,840,44088238.22,Medium
Industrial,1721,Suburban,4,14,15-04-2024 19:14,17-12-2024 19:14,2630622.205,1495451.183,461540.3765,318663.2421,49669.25487,138827.2811,263417.0172,293,Windy,845,68930265.16,Small
Residential,13933,Suburban,4,16,22-03-2024 16:04,19-04-2026 16:04,7497763.376,4333108.77,1315212.171,1111082.985,88983.82135,651518.9117,1337736.327,84,Clear,72,8818131.359,Large
Residential,9068,Urban,3,46,24-02-2021 13:54,11-09-2022 13:54,17616129.35,9981066.429,5507586.651,1304726.816,837488.3522,1074746.915,2317523.336,147,Rain,381,49855695.4,Medium
Residential,9802,Rural,4,29,26-10-2024 00:23,10-05-2026 00:23,19038320.21,4492735.136,3572666.337,1197260.384,583900.4486,1296395.505,2618791.985,59,Storm,190,24398482.54,Medium
Infrastructure,1105,Urban,2,41,27-03-2024 13:46,17-08-2024 13:46,1458492.826,788243.502,473266.9603,172337.2989,63566.84297,86219.47135,184636.8138,33,Clear,439,25219889.7,Small
Residential,17094,Suburban,2,16,12-08-2020 14:54,11-02-2023 14:54,22941297.75,13499330.86,5265566.141,2466291.488,1048130.49,2017127.926,1732914.684,41,Storm,300,53174597.05,Large
Industrial,1437,Rural,2,19,03-08-2024 02:17,05-01-2025 02:17,709878.7097,195125.9944,170607.3293,78275.63043,11443.43722,28730.77202,123684.2543,272,Storm,557,57284203.88,Small
Infrastructure,3101,Urban,4,44,04-07-2021 15:26,01-05-2022 15:26,1396397.266,553342.7252,225999.1108,121132.3081,12138.59607,136452.3428,131811.9433,215,Storm,821,78355568.06,Small
Industrial,7247,Suburban,4,6,15-08-2016 16:53,21-01-2018 16:53,9900070.906,3965801.06,2114465.439,929679.4509,229727.746,566496.3542,954541.3153,43,Foggy,956,62713686.89,Medium
Industrial,11792,Suburban,4,38,14-09-2021 21:02,29-08-2023 21:02,14386136.89,5469844.713,2727313.028,2013889.829,361085.5792,1409739.55,1609444.761,49,Rain,459,18186931.21,Large
Infrastructure,16430,Urban,2,40,27-12-2024 04:30,06-07-2027 04:30,27481921.87,6586550.369,9982374.913,3749017.911,435545.6429,2207256.03,3625206.115,290,Snow,314,37023458.03,Large
Commercial,11542,Rural,2,21,25-08-2024 22:39,26-04-2026 22:39,5122229.509,1506981.162,1126537.098,748307.7411,54448.19609,225250.1568,713271.2997,24,Clear,260,3168229.733,Large
Commercial,7575,Urban,1,16,27-08-2015 04:41,01-12-2016 04:41,17414581.47,5199241.584,6628635.561,1452815.814,863122.0322,1371898.709,1434801.696,188,Snow,242,1772417.159,Medium
Commercial,9296,Suburban,2,6,15-05-2019 20:38,04-10-2020 20:38,10886899.67,5522584.06,1830156.051,969619.3003,497796.0454,893753.3882,753215.1666,22,Foggy,195,82078944.98,Medium
Educational,17706,Suburban,2,50,03-11-2015 21:40,06-08-2018 21:40,8597231.831,3505534.348,2558972.728,1099070.856,380225.5593,817924.7235,1368993.613,131,Clear,682,7227939.02,Large
Commercial,15142,Suburban,4,45,31-05-2015 21:56,19-09-2017 21:56,12296144.37,5535025.205,4328252.618,1435570.847,104724.2382,882487.7305,1848939.041,258,Storm,430,28329942.85,Large
Educational,4400,Suburban,2,22,09-12-2023 15:10,20-09-2024 15:10,8692319.397,3588735.671,2122591.336,1245469.229,419969.0612,283231.0756,1251309.897,256,Clear,513,35366521.55,Small
Residential,2028,Rural,1,11,23-08-2016 15:54,27-01-2017 15:54,2064385.736,624756.1801,811531.999,162999.6269,27335.09294,121056.0274,359789.4555,38,Storm,354,87588830.14,Small
Infrastructure,15181,Suburban,4,38,30-05-2024 18:38,02-12-2026 18:38,9259834.083,3164426.655,2782099.797,1207532.04,394065.1552,824232.6633,1774753.455,50,Storm,869,51232506.48,Large
Residential,18681,Urban,2,11,11-01-2024 16:30,12-11-2026 16:30,30379889.52,16540748.07,5580237.003,4202316.649,259997.83,1755871.838,5882732.207,253,Windy,842,84312527.76,Large
Residential,1761,Suburban,5,20,13-11-2021 01:21,05-04-2022 01:21,3177319.082,1781346.058,978861.9026,384490.3461,25295.69275,283211.273,517635.4962,205,Snow,77,4223068.204,Small
Residential,1178,Suburban,3,20,30-08-2016 08:06,30-12-2016 08:06,2075013.85,812675.4377,526072.4903,119728.7599,28118.21496,78207.52196,313941.8396,52,Snow,133,61703665.48,Small
Industrial,17618,Suburban,3,28,28-04-2015 00:46,21-12-2017 00:46,39475430.26,10926926.88,9618432.687,2893570.731,1237371.524,3125160.721,5464075.184,286,Clear,407,30333679.99,Large
Educational,19837,Suburban,3,20,03-06-2016 14:10,30-06-2019 14:10,19015540.74,5435477.636,3609933.184,2125233.539,344895.4886,1550548.102,2195663.723,54,Rain,1000,62741297.26,Large
Residential,4717,Urban,2,28,25-01-2021 01:15,05-02-2022 01:15,6664589.269,2007630.148,2421867.242,784217.9014,299044.0226,346851.5043,864780.1687,258,Foggy,867,19134479.01,Small
Educational,8135,Urban,2,12,19-12-2016 10:16,29-04-2018 10:16,4520474.493,1816531.825,1006514.791,464998.4279,113685.6081,164229.9269,289172.7604,235,Windy,765,9125142.12,Medium
Educational,4317,Rural,2,7,18-09-2023 14:21,06-06-2024 14:21,4102280.744,1722599.178,1422609.84,578534.888,129899.1469,273063.9076,783940.9638,298,Rain,105,38320698.72,Small
Educational,4144,Urban,1,50,13-12-2023 09:29,01-09-2024 09:29,3978112.092,1950037.997,905143.9914,279422.2366,195647.0003,241033.3345,501889.4264,84,Storm,336,23106650.38,Small
Commercial,16212,Rural,1,40,20-01-2019 08:11,26-05-2021 08:11,27081106.26,11156057.81,9438539.265,2862885.309,935054.3584,1389588.46,4900234.689,213,Clear,319,40441359.91,Large
Industrial,11616,Urban,4,36,14-12-2024 06:26,14-12-2026 06:26,9024599.622,4451621.861,1409273.765,467025.5583,268795.2282,639933.4051,915008.119,17,Clear,490,14907459.06,Large
Residential,16128,Rural,3,24,05-05-2016 16:37,10-10-2018 16:37,12417510.78,6309847.856,2144338.157,1645916.032,96612.88232,906012.4732,1835532.535,143,Snow,202,91679604.47,Large
Industrial,2381,Rural,5,34,04-02-2021 01:36,06-11-2021 01:36,5437372.705,1514689.62,959121.6975,661926.0608,86476.76216,400748.4174,1007977.179,275,Windy,592,40105146.89,Small
Infrastructure,10676,Rural,2,33,19-12-2024 11:04,09-09-2026 11:04,8815345.776,3615646.141,2663199.527,703176.9538,378479.1,461734.4372,784092.0776,256,Rain,416,15548784.33,Large
